Inspection ID,DBA Name,AKA Name,License #,Facility Type,Risk,Address,City,State,Zip,Inspection Date,Inspection Type,Results,Violations,Latitude,Longitude,Location
2500832,FAT CAT,FAT CAT,1544856,Restaurant,Risk 1 (High),4840 N BROADWAY ,CHICAGO,IL,60640,04/27/2021,Complaint,Pass,"47. FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED - Comments: MUST NOT USE MILK CRATES AS A MEANS OF ELEVATION FOR STORED ITEMS. | 49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: GREASE INSIDE THE DEEP FRYER,INSTRUCTED TO CLEAN AND MAINTAIN | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: MISSING GROUT BETWEEN FLOOR TILES INDISH ROOM,INSTRUCTED TO RE-GROUT SAID TILES.",41.970177996889234,-87.65984900729137,"(-87.65984900729137, 41.970177996889234)"
2500790,GALAXY FOOD MART,GALAXY FOOD MART,2771189,,Risk 3 (Low),7301 N SHERIDAN RD ,CHICAGO,IL,60626,04/27/2021,License,No Entry,,42.0140411322766,-87.6639709089456,"(-87.6639709089456, 42.0140411322766)"
2500856,DIVER,DIVER,2781626,Restaurant,Risk 3 (Low),3469-3475 N CLARK ST ,CHICAGO,IL,60657,04/27/2021,License,Fail,,41.945289685815595,-87.65480374883363,"(-87.65480374883363, 41.945289685815595)"
2500756,LUCKY STRIKE,LUCKY STRIKE,2609815,Restaurant,Risk 1 (High),1025 W ADDISON ST ,CHICAGO,IL,60613,04/26/2021,Canvass,Out of Business,,41.94711774835235,-87.6553811622124,"(-87.6553811622124, 41.94711774835235)"
2500753,THE NEW GRACE RESTAURANT,THE NEW GRACE RESTAURANT,2712979,Restaurant,Risk 1 (High),4409 N BROADWAY ,CHICAGO,IL,60640,04/26/2021,Canvass,No Entry,,41.96210413223745,-87.65520382960334,"(-87.65520382960334, 41.96210413223745)"
2500778,LIFEWORKS C/O CAPITAL ONE,,2785817,,Risk 1 (High),77 W WACKER DR ,CHICAGO,IL,60601,04/26/2021,License,Not Ready,,41.88670773797291,-87.6307945777937,"(-87.6307945777937, 41.88670773797291)"
2500717,ARAMARK @ LOYOLA DENOBILI,de NOBILI,2278073,Restaurant,Risk 1 (High),6350 N KENMORE AVE ,CHICAGO,IL,60660,04/26/2021,Canvass Re-Inspection,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: 6-501.12 FOUND FLOORS NOT CLEAN AT DRY STORAGE AREAS. MUST CLEAN.",41.99790804234051,-87.6572011479441,"(-87.6572011479441, 41.99790804234051)"
2500715,"MADISON HANAN, INC.","MADISON HANAN, INC.",2781643,Grocery Store,Risk 3 (Low),4047 W MADISON ST ,CHICAGO,IL,60624,04/26/2021,License,Not Ready,,41.88059364344302,-87.72753815873816,"(-87.72753815873816, 41.88059364344302)"
2500714,SANOS PIZZERIA,SANOS PIZZERIA,3663,Restaurant,Risk 1 (High),4469 W LAWRENCE AVE ,CHICAGO,IL,60630,04/26/2021,Canvass Re-Inspection,Pass,,41.96799424187085,-87.74064316006319,"(-87.74064316006319, 41.96799424187085)"
2500636,MARGIE'S CANDIES,MARGIE'S CANDIES,2294432,Restaurant,Risk 1 (High),1960 N WESTERN AVE ,CHICAGO,IL,60647,04/23/2021,Canvass Re-Inspection,Pass,,41.91752758522411,-87.68755598295824,"(-87.68755598295824, 41.91752758522411)"
2500703,FINLEY DUNNE'S,FINLEY DUNNE'S,32761,Restaurant,Risk 1 (High),3458 N LINCOLN AVE ,CHICAGO,IL,60657,04/23/2021,Non-Inspection,No Entry,,41.94480001870207,-87.67240344622007,"(-87.67240344622007, 41.94480001870207)"
2500682,"PENDRY CHICAGO, HOTEL",BANQUETS / ROOFTOP BAR,2762631,HOTEL,Risk 3 (Low),224-230 N MICHIGAN AVE FL ,CHICAGO,IL,60601,04/22/2021,License,Pass w/ Conditions,,41.88637481521078,-87.6246754356595,"(-87.6246754356595, 41.88637481521078)"
2500615,GORDILLAS,GORDILLAS,2728355,Restaurant,Risk 1 (High),5734 S PULASKI RD ,CHICAGO,IL,60629,04/22/2021,Recent Inspection,Pass,"53. TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED - Comments:  5-501.17: NO COVER ON TOILET ROOM RECEPTACLE INSTRUCTED TO PROVIDE AND MAINTAIN. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments:  6-201.11: FLOORS UNDER 3 COMPARTMENT SINK IN NEED OF CLEANING TO REMOVE ALL DEBRIS. INSTRUCTED TO CLEAN AND MAINTAIN.  | 58. ALLERGEN TRAINING AS REQUIRED - Comments: 2-102.13: NO ALLERGEN CERTIFICATE ON SITE. INSTRUCTED MANAGER TO PROVIDE AND MAINTAIN.",41.78855345866565,-87.72317448804466,"(-87.72317448804466, 41.78855345866565)"
2500674,"PENDRY CHICAGO, HOTEL",BANQUETS / ROOFTOP BAR,2771319,HOTEL,Risk 3 (Low),224-230 N MICHIGAN AVE FL ,CHICAGO,IL,60601,04/22/2021,License,Pass w/ Conditions,,41.88637481521078,-87.6246754356595,"(-87.6246754356595, 41.88637481521078)"
557582,HEALING TEMPLE CHURCH OF GOD,HEALING TEMPLE CHURCH OF GOD,30719,Daycare (2 - 6 Years),Risk 1 (High),4941 W CHICAGO AVE ,CHICAGO,IL,60651,10/04/2011,License,Pass,,41.89486206633173,-87.74989800775188,"(-87.74989800775188, 41.89486206633173)"
2500644,VENTEUX,VENTEUX RESTAURANT & CAFE,2762648,Restaurant,Risk 3 (Low),224-230 N MICHIGAN AVE FL ,CHICAGO,IL,60601,04/22/2021,License,Pass w/ Conditions,,41.88637481521078,-87.6246754356595,"(-87.6246754356595, 41.88637481521078)"
2500643,VENTEUX,VENTEUX RESTAURANT & CAFE,2762646,Restaurant,Risk 3 (Low),224-230 N MICHIGAN AVE FL ,CHICAGO,IL,60601,04/22/2021,License,Pass w/ Conditions,,41.88637481521078,-87.6246754356595,"(-87.6246754356595, 41.88637481521078)"
2500640,SIDE STREET SALOON,SIDE STREET SALOON,8221,Restaurant,Risk 1 (High),1456 W GEORGE ST ,CHICAGO,IL,60657,04/22/2021,Non-Inspection,No Entry,,41.93437222240679,-87.66585652139575,"(-87.66585652139575, 41.93437222240679)"
2500562,TAXIM,TAXIM,1801485,Restaurant,Risk 1 (High),1558 N MILWAUKEE AVE ,CHICAGO,IL,60622,04/22/2021,Complaint Re-Inspection,Pass,"55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: FOUND UNNECESSARY CLUTTER IN REAR BASEMENT UNABLE TO REACH CORNER WALLS. MUST ORGANIZE AND REMOVE UNNECESSARY ITEMS TO PREVENT PEST HARBORAGE.",41.90973834112386,-87.67669265473931,"(-87.67669265473931, 41.90973834112386)"
2500551,STUMPTOWN COFFEE CORP,,2563999,Restaurant,Risk 2 (Medium),311 N MORGAN ST ,CHICAGO,IL,60607,04/21/2021,Canvass,Out of Business,,41.88712191392366,-87.6520357596219,"(-87.6520357596219, 41.88712191392366)"
2500544,BURGER KING,BURGER KING (T5 M7),2713626,Restaurant,Risk 2 (Medium),11601 W TOUHY AVE ,CHICAGO,IL,60666,04/21/2021,Canvass,Pass,"49. NON-FOOD/FOOD CONTACT SURFACES CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN AND MAINTAIN INTERIOR SURFACES OF ALL COOLER AND FREEZERS AND INTERIOR AND AROUND HANDSINKS IN PREP/DISHWASHING AREA. | 55. PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN - Comments: INSTRUCTED TO DETAIL CLEAN AND MAINTAIN FLOORS WITH GREASE AND DRIED FOOD DEBRIS ACCUMULATION ALONG THE WALLS, UNDER AND AROUND COOLERS IN PREP AREA.",42.008536400868735,-87.91442843927047,"(-87.91442843927047, 42.008536400868735)"
